Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Thermostat Air Temperature [C](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,7.8,20.,836456.899165824 
 01/01  02:00:00,7.625,20.,1154651.49676652 
 01/01  03:00:00,7.7625,20.,1162511.09329001 
 01/01  04:00:00,7.8625,20.0000000000001,1150744.79860194 
 01/01  05:00:00,7.9,20.0000000000001,1643894.97951975 
 01/01  06:00:00,7.9625,20.0000000000001,1847424.32604237 
 01/01  07:00:00,8.0625,20.0000000000001,1847623.81071386 
 01/01  08:00:00,8.1625,19.9999999999999,1837072.32730706 
 01/01  09:00:00,8.0125,20.,1833736.48859281 
 01/01  10:00:00,7.5875,20.,1783114.77498112 
 01/01  11:00:00,7.4,20.,1801031.81398991 
 01/01  12:00:00,7.5875,20.0000000000001,1849750.70674205 
 01/01  13:00:00,7.8875,20.0000000000001,2241415.72858618 
 01/01  14:00:00,7.9375,20.0000000000002,2511131.48338527 
 01/01  15:00:00,7.9,20.0000000000001,1917480.7202864 
 01/01  16:00:00,7.9,20.,1891511.48731379 
 01/01  17:00:00,7.9,20.,2306486.42149571 
 01/01  18:00:00,7.9625,20.,1297693.55539126 
 01/01  19:00:00,8.125,20.,1170317.69378222 
 01/01  20:00:00,8.075,20.,804176.011992235 
 01/01  21:00:00,7.9375,20.,1193656.06256867 
 01/01  22:00:00,7.525,20.,1234977.02968865 
 01/01  23:00:00,7.675,20.,753836.926725119 
 01/01  24:00:00,8.15,20.,685167.563060616 
 01/02  01:00:00,8.05,20.,865535.323692068 
 01/02  02:00:00,7.4625,20.,879020.151268182 
 01/02  03:00:00,7.2,20.,1187758.91966335 
 01/02  04:00:00,7.1375,20.,1548552.36418575 
 01/02  05:00:00,6.85,20.,1947008.38070398 
 01/02  06:00:00,6.6375,20.,2034380.24565724 
 01/02  07:00:00,6.225,20.,2133077.57418874 
 01/02  08:00:00,6.0625,20.,2224747.84228041 
 01/02  09:00:00,6.0375,20.0000000000001,2227821.59528989 
 01/02  10:00:00,6.,20.,1902829.40466723 
 01/02  11:00:00,6.25,20.0000000000001,1645481.72502764 
 01/02  12:00:00,6.525,20.0000000000001,951135.571165067 
 01/02  13:00:00,6.85,20.,972011.657498845 
 01/02  14:00:00,6.8125,20.,1099128.90616432 
 01/02  15:00:00,6.45,20.,744675.701646677 
 01/02  16:00:00,5.7375,20.,632292.451777112 
 01/02  17:00:00,5.275,20.0000000000001,1795543.33043427 
 01/02  18:00:00,5.075,20.,2369517.71093522 
 01/02  19:00:00,5.1875,20.,2411135.24508699 
 01/02  20:00:00,5.4875,20.0000000000001,1826358.94464975 
 01/02  21:00:00,5.6,20.,1345327.19265539 
 01/02  22:00:00,5.5375,20.,1199921.57630029 
 01/02  23:00:00,5.9375,20.,1581774.98722152 
 01/02  24:00:00,6.7625,20.,977172.409622601 
 01/03  01:00:00,7.35,20.,649013.735253679 
 01/03  02:00:00,7.875,20.,705862.240942794 
 01/03  03:00:00,8.0375,20.,1322090.54695356 
 01/03  04:00:00,7.875,20.0000000000001,1852565.51637916 
 01/03  05:00:00,7.8,20.0000000000001,1907086.90218262 
 01/03  06:00:00,7.8625,20.,1927030.14172258 
 01/03  07:00:00,8.0875,20.,1922011.82881851 
 01/03  08:00:00,8.2,20.,1903522.52592819 
 01/03  09:00:00,6.0125,20.,1402059.20759716 
 01/03  10:00:00,4.825,19.9999999999999,1808784.1287374 
 01/03  11:00:00,5.3375,20.,1560313.18232297 
 01/03  12:00:00,5.475,20.,678682.362542238 
 01/03  13:00:00,5.4,20.,774757.227055003 
 01/03  14:00:00,5.3375,20.,743467.36398206 
 01/03  15:00:00,5.1125,20.,1317335.02157523 
 01/03  16:00:00,4.875,20.,1586191.21630908 
 01/03  17:00:00,4.55,20.,1973386.78565784 
 01/03  18:00:00,3.9625,20.0000000000001,2960222.60785903 
 01/03  19:00:00,3.6375,20.0000000000001,3289285.95564165 
 01/03  20:00:00,3.6625,20.0000000000001,2346994.22029322 
 01/03  21:00:00,2.075,20.,1286164.42886204 
 01/03  22:00:00,1.5375,20.,1376291.55977342 
 01/03  23:00:00,1.925,20.,1410363.1291024 
 01/03  24:00:00,2.,20.0000000000001,1748518.85341338 
 01/04  01:00:00,2.25,20.0000000000001,1437669.55100262 
 01/04  02:00:00,2.4,20.0000000000001,1381271.78918058 
 01/04  03:00:00,2.4,20.,2052169.29885651 
 01/04  04:00:00,2.4625,20.,2592431.20137159 
 01/04  05:00:00,2.375,20.0000000000001,2769022.56670891 
 01/04  06:00:00,1.925,20.0000000000001,2756814.0354824 
 01/04  07:00:00,2.0125,20.0000000000001,2763116.97946558 
 01/04  08:00:00,2.3875,20.,3412106.91010897 
 01/04  09:00:00,3.0625,20.,3229598.27425145 
 01/04  10:00:00,4.0875,20.,3024973.0558076 
 01/04  11:00:00,4.875,20.0000000000001,2289704.12975453 
 01/04  12:00:00,5.35,20.,1354477.13742093 
 01/04  13:00:00,5.625,20.,355249.366326267 
 01/04  14:00:00,5.6375,20.0012220245788,252993.846596726 
 01/04  15:00:00,5.4125,20.0000000089713,514231.964956059 
 01/04  16:00:00,4.8625,20.,949005.501537584 
 01/04  17:00:00,3.85,20.,2097268.46996519 
 01/04  18:00:00,3.3375,20.0000000000001,1898260.88638097 
 01/04  19:00:00,3.2375,20.,1625911.06090847 
 01/04  20:00:00,2.3875,20.,2011820.31888699 
 01/04  21:00:00,1.9625,20.,1528205.40778679 
 01/04  22:00:00,2.3125,20.,1468446.24082097 
 01/04  23:00:00,2.375,20.,1487292.66382119 
 01/04  24:00:00,2.1125,20.,1482940.24941906 
 01/05  01:00:00,1.8125,20.,1466640.62251797 
 01/05  02:00:00,1.7625,20.,1519353.37196045 
 01/05  03:00:00,1.6125,20.,2066690.79473004 
 01/05  04:00:00,1.5,20.,2992293.0570497 
 01/05  05:00:00,1.0625,20.,3071447.08558488 
 01/05  06:00:00,0.7375,20.0000000000001,3153434.63174768 
 01/05  07:00:00,0.45,20.0000000000001,3192554.22632639 
